_id,SUBSCRIPTION_DATE,SUBSCRIPTION_COUNTY,SUBSCRIBER_DOMESTIC_FOREIGN,LONGITUDE,LATITUDE,NUMBER_OF_SUBSCRIBER
1,2019-11-01,KARTAL,Yerli,29.161455,40.905838,2
2,2020-02-27,BAŞAKŞEHİR,Yerli,29.011473,41.080041,1
3,2019-09-23,AVCILAR,Yerli,28.725479,40.985393,4
4,2019-05-02,KAĞITHANE,Yerli,28.573054,41.035648,2
5,2019-02-10,KARTAL,Yerli,29.189967,40.892454,6
6,2019-11-09,KARTAL,Yerli,29.18905,40.90657,1
7,2019-12-27,KARTAL,Yerli,29.189967,40.892454,3
8,2019-08-04,SANCAKTEPE,Yerli,29.233057,40.978484,4
9,2018-08-25,İSTANBUL,Yabancı,28.58272,41.01418,3
10,2019-09-07,BEŞİKTAŞ,Yabancı,29.00736,41.041218,1
11,2019-01-07,ÜMRANİYE,Yerli,29.105734,41.017041,1
12,2018-08-11,BEYOĞLU,Yerli,28.989684,41.031331,5
13,2019-09-08,ŞİŞLİ,Yerli,29.011473,41.080041,1
14,2019-12-17,ŞİŞLİ,Yabancı,29.011473,41.080041,1
15,2019-07-28,SARIYER,Yerli,29.052015,41.106615,7
16,2018-09-01,ÜMRANİYE,Yerli,29.105734,41.017041,1
17,2019-07-08,KADIKÖY,Yerli,29.10925,40.95838,1
18,2018-04-10,ÜMRANİYE,Yerli,29.105734,41.017041,1
19,2019-05-09,KARTAL,Yerli,29.161455,40.905838,1
20,2019-12-27,BAKIRKÖY,Yerli,28.884828,40.999602,5
21,2019-05-15,ÜMRANİYE,Yerli,29.105734,41.017041,1
22,2020-03-09,AVCILAR,Yerli,28.731161,40.980151,2
23,2020-01-07,MALTEPE,Yerli,29.121198,40.924531,2
24,2018-01-23,BEYOĞLU,Yerli,28.989684,41.031331,2
25,2019-05-28,EYÜP SULTAN,Yerli,28.926066,41.083861,1
26,2018-03-30,EYÜP SULTAN,Yerli,28.948922,41.082908,2
27,2019-05-17,BAKIRKÖY,Yerli,28.863824,40.986566,1
28,2019-09-21,SANCAKTEPE,Yerli,29.120662,41.011656,1
29,2018-12-24,BAKIRKÖY,Yerli,28.820556,40.978551,2
30,2018-07-09,KARTAL,Yerli,29.187151,40.888024,8
31,2019-03-14,KARTAL,Yerli,29.161455,40.905838,5
32,2017-12-21,BAKIRKÖY,Yerli,28.884828,40.999602,2
33,2018-11-01,EYÜP SULTAN,Yerli,28.948922,41.082908,1
34,2018-09-19,BAKIRKÖY,Yerli,28.884828,40.999602,13
35,2019-07-21,AVCILAR,Yerli,28.721885,40.981178,1
36,2018-11-12,ÜMRANİYE,Yerli,29.105734,41.017041,1
37,2019-06-09,SANCAKTEPE,Yerli,29.245335,41.015681,1
38,2019-12-05,ŞİŞLİ,Yerli,28.981998,41.068341,1
39,2018-10-12,EYÜP SULTAN,Yabancı,28.933511,41.047359,5
40,2018-12-15,SANCAKTEPE,Yerli,29.245335,41.015681,1
41,2019-06-02,SARIYER,Yerli,29.052015,41.106615,1
42,2019-12-30,EYÜP SULTAN,Yerli,28.926066,41.083861,1
43,2019-03-27,BEŞİKTAŞ,Yerli,29.00736,41.041218,1
44,2017-11-15,BAKIRKÖY,Yabancı,28.820556,40.978551,8
45,2018-08-03,BEYOĞLU,Yerli,28.94027,41.04725,1
46,2019-07-06,ŞİŞLİ,Yerli,28.989035,41.057795,2
47,2019-07-30,ŞİŞLİ,Yerli,28.986104,41.066846,2
48,2019-05-09,FATİH,Yerli,28.945011,41.009663,2
49,2017-12-05,KARTAL,Yerli,29.187151,40.888024,2
50,2018-11-05,SANCAKTEPE,Yerli,29.231847,40.978859,7
51,2018-05-30,FATİH,Yerli,28.941171,41.017758,2
52,2019-10-19,EYÜP SULTAN,Yerli,28.933511,41.047359,3
53,2018-05-27,ESENLER,Yerli,28.873136,41.053895,1
54,2019-04-09,ŞİŞLİ,Yerli,28.989035,41.057795,2
55,2020-01-16,ATAŞEHİR,Yerli,29.147233,40.977902,1
56,2019-12-26,SANCAKTEPE,Yerli,29.245335,41.015681,1
57,2019-11-19,ŞİŞLİ,Yerli,29.011473,41.080041,1
58,2018-11-30,KARTAL,Yerli,29.189967,40.892454,3
59,2019-06-22,FATİH,Yabancı,28.945011,41.009663,1
60,2019-09-30,KARTAL,Yerli,29.189967,40.892454,2
61,2018-06-18,EYÜP SULTAN,Yerli,28.933511,41.047359,19
62,2019-08-04,SANCAKTEPE,Yerli,29.245335,41.015681,2
63,2019-06-11,AVCILAR,Yerli,28.721885,40.981178,1
64,2019-07-26,BAŞAKŞEHİR,Yerli,29.011473,41.080041,2
65,2018-10-02,BEŞİKTAŞ,Yerli,29.011161,41.085842,1
66,2018-07-24,İSTANBUL,Yabancı,28.58272,41.01418,1
67,2019-05-19,ŞİŞLİ,Yerli,28.986104,41.066846,1
68,2020-02-21,KARTAL,Yerli,29.189967,40.892454,7
69,2018-10-20,BAĞCILAR,Yerli,28.870054,41.033384,8
70,2018-04-23,EYÜP SULTAN,Yerli,28.933511,41.047359,12
71,2018-10-24,EYÜP SULTAN,Yerli,28.933511,41.047359,1
72,2019-06-23,BEŞİKTAŞ,Yerli,29.00736,41.041218,2
73,2018-03-03,FATİH,Yerli,28.941171,41.017758,1
74,2017-10-30,BAKIRKÖY,Yabancı,28.820556,40.978551,3
75,2020-01-20,FATİH,Yerli,28.972482,41.007712,1
76,2018-03-09,ÜMRANİYE,Yerli,29.105734,41.017041,3
77,2019-02-03,KÜÇÜKÇEKMECE,Yerli,28.80303,41.030465,2
78,2018-05-13,SANCAKTEPE,Yerli,29.233057,40.978484,2
79,2019-07-18,ŞİŞLİ,Yabancı,28.986104,41.066846,1
80,2018-10-01,BAKIRKÖY,Yabancı,28.820556,40.978551,9
81,2019-12-28,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,2
82,2018-11-01,MALTEPE,Yerli,29.121198,40.924531,9
83,2018-05-29,SANCAKTEPE,Yerli,29.245335,41.015681,1
84,2018-12-16,BAKIRKÖY,Yerli,28.884828,40.999602,1
85,2018-03-18,SANCAKTEPE,Yerli,29.245335,41.015681,4
86,2018-07-01,FATİH,Yerli,28.953279,41.016831,2
87,2018-09-02,EYÜP SULTAN,Yabancı,28.933511,41.047359,2
88,2018-10-05,BAKIRKÖY,Yerli,28.884828,40.999602,2
89,2020-03-09,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,1
